,Year,Banking Crisis ,Systemic Crisis,exch_usd,Domestic Debt,Sovereign External debt2,GDP_Weighted_default,Independence,Currency Crises,Inflation Crises
157,181.0,0.0,0.0,-0.26703157990723275,0.0,0.0,0.0,1,0,0.0
158,182.0,0.0,0.0,-0.26622924570573253,0.0,0.0,0.0,1,0,0.0
159,183.0,0.0,0.0,-0.26407515279518284,0.0,0.0,0.0,1,0,0.0
160,184.0,0.0,0.0,-0.26149372971209517,0.0,0.0,0.0,1,0,0.0
161,185.0,0.0,0.0,-0.2658027876355872,0.0,0.0,0.0,1,0,0.0
162,186.0,0.0,0.0,-0.26897636824347787,0.0,0.0,0.0,1,0,0.0
163,187.0,0.0,0.0,-0.2711522637138508,0.0,0.0,0.0,1,0,0.0
164,188.0,0.0,0.0,-0.2699156225206689,0.0,0.0,0.0,1,0,0.0
165,189.0,0.0,0.0,-0.27044150026360875,0.0,0.0,0.0,1,0,0.0
166,190.0,0.0,0.0,-0.27162755951800044,0.0,0.0,0.0,1,0,0.0
167,191.0,0.0,0.0,-0.27147581370162976,0.0,0.0,0.0,1,0,0.0
168,192.0,0.0,0.0,-0.2709124355557937,0.0,0.0,0.0,1,0,0.0
169,193.0,0.0,0.0,-0.2701406249380462,0.0,0.0,0.0,1,0,0.0
170,194.0,0.0,0.0,-0.2713015676435213,0.0,0.0,0.0,1,0,0.0
171,195.0,0.0,0.0,-0.2720191334924283,0.0,0.0,0.0,1,0,0.0
172,196.0,0.0,0.0,-0.2713624403905482,0.0,0.0,0.0,1,0,0.0
173,197.0,0.0,0.0,-0.2697970165952298,0.0,0.0,0.0,1,0,0.0
174,198.0,0.0,0.0,-0.270600222899123,0.0,0.0,0.0,1,0,0.0
175,199.0,0.0,0.0,-0.26886535618912416,0.0,0.0,0.0,1,0,0.0
176,200.0,0.0,0.0,-0.26791408567100233,0.0,0.0,0.0,1,0,0.0
177,201.0,0.0,0.0,-0.2671941058314533,0.0,0.0,0.0,1,0,0.0
178,202.0,0.0,0.0,-0.2693676866662081,0.0,0.0,0.0,1,0,0.0
179,203.0,0.0,0.0,-0.2713093008371392,0.0,0.0,0.0,1,0,0.0
180,204.0,0.0,0.0,-0.2720005851339281,0.0,0.0,0.0,1,0,0.0
181,205.0,0.0,0.0,-0.2706383890036423,0.0,0.0,0.0,1,1,0.0
182,206.0,0.0,0.0,-0.2716988838526573,0.0,0.0,0.0,1,0,0.0
183,207.0,0.0,0.0,-0.2726589122747369,0.0,0.0,0.0,1,0,0.0
184,211.0,1.0,0.0,-0.27153620883122276,0.0,0.0,0.0,1,0,0.0
185,212.0,0.0,0.0,-0.27171545850270357,0.0,0.0,0.0,1,0,0.0
186,213.0,0.0,0.0,-0.27210918756586816,0.0,0.0,0.0,1,0,0.0
187,214.0,0.0,0.0,-0.2709266114397609,0.0,0.0,0.0,1,0,0.0
188,30.0,0.0,0.0,-0.26830783080155407,0.0,0.0,0.0,1,0,0.0
189,31.0,0.0,0.0,-0.2685312780737348,0.0,0.0,0.0,1,0,0.0
190,32.0,0.0,0.0,-0.2681316650681699,0.0,0.0,0.0,1,0,0.0
191,33.0,0.0,0.0,-0.26780549445281693,0.0,0.0,0.0,1,0,1.0
192,34.0,0.0,0.0,-0.26804982240456776,0.0,0.0,0.0,1,0,0.0
193,35.0,0.0,0.0,-0.26831167092653246,0.0,0.0,0.0,1,0,0.0
194,36.0,0.0,0.0,-0.2682485488722,0.0,0.0,0.0,1,0,0.0
195,37.0,0.0,0.0,-0.2685454385345927,0.0,0.0,0.0,1,0,0.0
196,38.0,1.0,1.0,-0.2684883166755389,0.0,0.0,0.0,1,0,0.0
197,39.0,1.0,1.0,-0.26842903474618485,0.0,0.0,0.0,1,0,0.0
198,40.0,0.0,0.0,-0.26851855765974386,0.0,0.0,0.0,1,0,0.0
199,41.0,0.0,0.0,-0.26834455199666,0.0,0.0,0.0,1,0,0.0
200,42.0,1.0,1.0,-0.2679394188114387,0.0,0.0,0.0,1,0,0.0
201,43.0,0.0,0.0,-0.2681585459430187,0.0,0.0,0.0,1,0,0.0
202,44.0,0.0,0.0,-0.26827110960644807,0.0,0.0,0.0,1,0,0.0
203,45.0,0.0,0.0,-0.2682379885285094,0.0,0.0,0.0,1,0,0.0
204,46.0,0.0,0.0,-0.26793485866302685,0.0,0.0,0.0,1,0,0.0
205,47.0,0.0,0.0,-0.26835871245751786,0.0,0.0,0.0,1,0,0.0
206,48.0,1.0,0.0,-0.2682643893877359,0.0,0.0,0.0,1,0,0.0
207,49.0,0.0,1.0,-0.2682643893877359,0.0,0.0,0.0,1,0,0.0
208,50.0,0.0,0.0,-0.2684400751054977,0.0,0.0,0.0,1,0,0.0
209,51.0,0.0,0.0,-0.26853271812060164,0.0,0.0,0.0,1,0,0.0
210,52.0,0.0,0.0,-0.26855791894077247,0.0,0.0,0.0,1,0,0.0
211,53.0,0.0,0.0,-0.26855791894077247,0.0,0.0,0.0,1,0,0.0
212,54.0,0.0,0.0,-0.26842447459777297,0.0,0.0,0.0,1,0,1.0
213,55.0,0.0,0.0,-0.2683923135510789,0.0,0.0,0.0,1,0,0.0
214,56.0,0.0,0.0,-0.2685010370895299,0.0,0.0,0.0,1,0,0.0
215,57.0,0.0,0.0,-0.26832079122335617,0.0,0.0,0.0,1,0,0.0
216,58.0,0.0,0.0,-0.2684863966130497,0.0,0.0,0.0,1,0,0.0
217,59.0,0.0,0.0,-0.2684638358788016,0.0,0.0,0.0,1,0,0.0
218,60.0,0.0,0.0,-0.2679000575304101,0.0,0.0,0.0,1,0,0.0
219,61.0,0.0,0.0,-0.26832847147331296,0.0,0.0,0.0,1,0,0.0
220,62.0,0.0,0.0,-0.27157817723628513,0.0,0.0,0.0,1,0,0.0
221,63.0,0.0,0.0,-0.27262581133195524,0.0,0.0,0.0,1,0,0.0
222,64.0,0.0,0.0,-0.2684071940353702,0.0,0.0,0.0,1,0,0.0
223,65.0,0.0,0.0,-0.2685279179643787,0.0,0.0,0.0,1,0,0.0
224,66.0,0.0,0.0,-0.2684811164412044,0.0,0.0,0.0,1,0,0.0
225,67.0,0.0,0.0,-0.26849863701141835,0.0,0.0,0.0,1,0,0.0
226,68.0,0.0,0.0,-0.2684479953632657,0.0,0.0,0.0,1,0,0.0
227,69.0,0.0,0.0,-0.26846119579287897,0.0,0.0,0.0,1,0,0.0
228,70.0,1.0,1.0,-0.26827590976267107,0.0,0.0,0.0,1,0,0.0
229,71.0,1.0,1.0,-0.26796461963160945,0.0,0.0,0.0,1,0,0.0
230,72.0,0.0,0.0,-0.2682175878645616,0.0,0.0,0.0,1,0,0.0
231,73.0,0.0,0.0,-0.26843095480867407,0.0,0.0,0.0,1,0,0.0
232,74.0,0.0,0.0,-0.268496476941118,0.0,0.0,0.0,1,0,0.0
233,75.0,0.0,0.0,-0.2684527955194887,0.0,0.0,0.0,1,0,0.0
234,76.0,0.0,0.0,-0.2683779130824099,0.0,0.0,0.0,1,0,0.0
235,77.0,0.0,0.0,-0.2683779130824099,0.0,0.0,0.0,1,0,0.0
236,78.0,0.0,0.0,-0.2683515122231834,0.0,0.0,0.0,1,0,0.0
237,79.0,0.0,0.0,-0.2683433519576043,0.0,0.0,0.0,1,0,0.0
238,80.0,0.0,0.0,-0.2682538290440453,0.0,0.0,0.0,1,0,0.0
239,81.0,0.0,0.0,-0.2683270314264461,0.0,0.0,0.0,1,0,0.0
240,82.0,0.0,0.0,-0.26862776121381715,0.0,0.0,0.0,1,0,0.0
241,83.0,0.0,0.0,-0.26833999184824814,0.0,0.0,0.0,1,0,0.0
242,84.0,0.0,0.0,-0.2682996705359749,0.0,0.0,0.0,1,0,0.0
243,85.0,0.0,0.0,-0.26837143287150883,0.0,0.0,0.0,1,0,0.0
244,86.0,0.0,0.0,-0.26826726948146973,0.0,0.0,0.0,1,0,0.0
245,87.0,0.0,0.0,-0.2682778298251603,0.0,0.0,0.0,1,0,0.0
246,88.0,0.0,0.0,-0.2683841532854998,0.0,0.0,0.0,1,0,0.0
247,89.0,0.0,0.0,-0.2683870333792336,0.0,0.0,0.0,1,0,0.0
248,90.0,0.0,0.0,-0.268339751840437,0.0,0.0,0.0,1,0,0.0
249,91.0,0.0,0.0,-0.2683483921216384,0.0,0.0,0.0,1,0,0.0
250,92.0,0.0,0.0,-0.26846191581631246,0.0,0.0,0.0,1,0,0.0
251,93.0,0.0,0.0,-0.26840695402755904,0.0,0.0,0.0,1,0,0.0
252,94.0,0.0,0.0,-0.2684705560975138,0.0,0.0,0.0,1,0,0.0
253,95.0,0.0,0.0,-0.26843431491803016,0.0,0.0,0.0,1,0,0.0
254,96.0,0.0,0.0,-0.2683738329496203,0.0,0.0,0.0,1,0,0.0
255,97.0,0.0,0.0,-0.26834263193417085,0.0,0.0,0.0,1,0,0.0
256,98.0,0.0,0.0,-0.26832007119992274,0.0,0.0,0.0,1,0,0.0
257,99.0,0.0,0.0,-0.268349352152883,0.0,0.0,0.0,1,0,0.0
258,100.0,0.0,0.0,-0.2684047939572587,0.0,0.0,0.0,1,0,0.0
259,101.0,0.0,0.0,-0.26842759469931793,0.0,0.0,0.0,1,0,0.0
260,102.0,0.0,0.0,-0.26842759469931793,0.0,0.0,0.0,1,0,0.0
261,103.0,0.0,0.0,-0.26834599204352694,0.0,0.0,0.0,1,0,0.0
262,104.0,0.0,0.0,-0.26841079415253744,0.0,0.0,0.0,1,0,0.0
263,105.0,0.0,0.0,-0.2684347949336524,0.0,0.0,0.0,1,0,0.0
264,106.0,0.0,0.0,-0.2683003905594084,0.0,0.0,0.0,1,0,0.0
265,107.0,0.0,0.0,-0.2684191944259277,0.0,0.0,0.0,1,0,0.0
266,108.0,0.0,0.0,-0.2684131942306489,0.0,0.0,0.0,1,0,0.0
267,109.0,0.0,0.0,-0.26838439329331093,0.0,0.0,0.0,1,0,0.0
268,110.0,0.0,0.0,-0.26830159059846415,0.0,0.0,0.0,1,0,0.0
269,111.0,0.0,0.0,-0.26831839114524464,0.0,0.0,0.0,1,0,0.0
270,112.0,0.0,0.0,-0.26828839016885087,0.0,0.0,0.0,1,0,0.0
271,113.0,0.0,0.0,-0.2682331883722864,0.0,0.0,0.0,1,0,0.0
272,114.0,1.0,1.0,-0.26584631069039877,0.0,0.0,0.0,1,1,0.0
273,121.0,0.0,0.0,-0.2489605611369346,0.0,0.0,0.0,1,0,0.0
274,122.0,0.0,0.0,-0.24469082217657456,0.0,0.0,0.0,1,0,0.0
275,123.0,0.0,0.0,-0.22842549281493335,0.0,0.0,0.0,1,0,1.0
276,124.0,0.0,0.0,-0.23247082447186804,0.0,0.0,0.0,1,0,0.0
277,125.0,1.0,1.0,-0.22782427324800242,0.0,0.0,0.0,1,0,0.0
